id,title,id,attachment_name,id,created,updated,description,exercise_id,user_id,username
7,"Dlaczego zabiła?",NULL,NULL,22,"2018-01-14 16:40:41","2018-01-14 16:40:41","krokoldylki krokoldyll,",7,1,admin
6,"Jak podzielić?",NULL,NULL,21,"2018-01-14 16:37:44","2018-01-14 16:37:44","kukuryku dla ex 6",6,1,admin
7,"Dlaczego zabiła?",NULL,NULL,20,"2018-01-14 16:36:05","2018-01-14 16:36:05","baju baju baju 2-ie solution",7,1,admin
7,"Dlaczego zabiła?",2,LICENSE,19,"2018-01-14 16:26:39","2018-01-14 16:26:39","cos tam cos tam",7,1,admin
7,"Dlaczego zabiła?",3,RUNNING.txt,19,"2018-01-14 16:26:39","2018-01-14 16:26:39","cos tam cos tam",7,1,admin
1,"ZADANIE 5.93",NULL,NULL,3,"2018-01-07 18:12:23","2018-01-07 18:12:23","Wykres drogi od czasu. Radzimy, aby przy rozwiązywaniu zadań, stosować wykresy, jeśli to możliwe - rozwiązanie staje się bardziej czytelne.
W niniejszym zadaniu wszystkie liczby są w jednostkach podanych w treści, dlatego pomijamy ich wypisywanie. 
Jeśli dystans jest w podany w jednostkach km a czas w h, to umawiamy się, że szybkości będą wyrażone w km/h i pomijamy w równaniach jednostki.
Od momentu mijania się dwóch samochodów, łącznie muszą przebyć cały dystans A-B, czyli:
Pamiętając, że S0B oraz S0A są to brakujące dystanse dla kierowców A i B do dotarcia do odpowiednio B i A w chwili mijania, możemy napisać: Odpowiedź: Samochód osobowy dogoni samochód ciężarowy po 7,5 sekundach ruchu.",1,5,thomas
1,"ZADANIE 5.93",NULL,NULL,2,"2018-01-07 14:02:44","2018-01-07 14:02:44","Przypadku pomocny będzie wykres drogi od czasu. Radzimy, aby przy rozwiązywaniu zadań, stosować wykresy, jeśli to możliwe - rozwiązanie staje się bardziej czytelne.
W niniejszym zadaniu wszystkie liczby są w jednostkach podanych w treści, dlatego pomijamy ich wypisywanie. 
Jeśli dystans jest w podany w jednostkach km a czas w h, to umawiamy się, że szybkości będą wyrażone w km/h i pomijamy w równaniach jednostki.
Od momentu mijania się dwóch samochodów, łącznie muszą przebyć cały dystans A-B, czyli:
Pamiętając, że S0B oraz S0A są to brakujące dystanse dla kierowców A i B do dotarcia do odpowiednio B i A w chwili mijania, możemy napisać: Odpowiedź: Samochód osobowy dogoni samochód ciężarowy po 7,5 sekundach ruchu.",1,4,maria
1,"ZADANIE 5.93",NULL,NULL,1,"2018-01-06 12:55:35","2018-01-06 12:55:35","Tego typu zadania stają się przejrzyste, gdy używamy wykresu; w naszym przypadku pomocny będzie wykres drogi od czasu. Radzimy, aby przy rozwiązywaniu zadań, stosować wykresy, jeśli to możliwe - rozwiązanie staje się bardziej czytelne.
W niniejszym zadaniu wszystkie liczby są w jednostkach podanych w treści, dlatego pomijamy ich wypisywanie. 
Jeśli dystans jest w podany w jednostkach km a czas w h, to umawiamy się, że szybkości będą wyrażone w km/h i pomijamy w równaniach jednostki.
Od momentu mijania się dwóch samochodów, łącznie muszą przebyć cały dystans A-B, czyli:
Pamiętając, że S0B oraz S0A są to brakujące dystanse dla kierowców A i B do dotarcia do odpowiednio B i A w chwili mijania, możemy napisać: Odpowiedź: Samochód osobowy dogoni samochód ciężarowy po 7,5 sekundach ruchu.",1,3,jeff
2,"PAST SIMPLE",NULL,NULL,4,"2018-01-01 22:15:45","2018-01-07 22:15:45","I  see Robert a couple of days ago and he  look well. n2. He  want to help me but he  not know how and he actually  hurt me. n3. Why  you let her go? You really  let me down. n4. Mary  break her arm and  twist her ankle in the accident last night. n5. As soon as Kate  come out of the house, Joe  run into her room,  sit on the chair,  open a drawer and  take out all her letters. nThey  be busy working so we  not disturb them. n6. She  not behave normally yesterday so I  ask her if she  feel all right but she  not answer. n7. When  you make that decision and why  you choose the second option? n8. She  not shut the door quietly but  slam it ",2,5,thomas
3,"Zadanie psychotechniczne",NULL,NULL,10,"2017-12-30 16:43:22","2017-12-30 16:43:22","Tylko i jednak Wróbel wygrał u pilota - tym samym nie może już być pilotem, jest więc nawigatorem. Wobec tego, że Ptak zarabia 2000 złotych (tyle, ile zarabia stewardessa), więc nie może być najbliższym jego sąsiadem. Ptak musi przeto mieszkać w Aninie. Tam zaś mieszka pasażer o nazwisku stewardessy, czyli stewardessą jest Ptak. Stąd więc nawigatorem jest Wróbel, a pilotem Góra. Logiczne, prawda?",3,4,maria
